,0,5,7,9,12,14,16,19,21,23,30,37,44
0,0,0.7,1.5,2.4,4.5,6.9,9.7,12.6,13.2,13.8,16,18.2,20.6
0.16,0,0.6,1.2,1.8,2.9,5.2,7.9,11.1,12.8,14,16.5,19.1,21.6
0.4,0,0.7,1.6,2.5,5.8,8.1,10.9,13.7,14.1,14.6,17,19.6,22.1
0.8,0,0.5,1.1,2,4.6,7.7,10.5,13.8,14.8,15.9,18.7,21.5,24.4
1.2,0,1.1,2.3,3.6,4.6,7.3,10.8,14.4,15.4,16.1,19,21.9,25
1.6,0,0.6,1.4,2.2,5.4,7.9,11,14.5,15.3,16.4,19.6,22.5,25.7
2,0,1.5,2.7,3.9,7.3,10.8,14.7,18.7,19.9,20.7,23.5,26.4,29.4
2.4,0,1.2,2.4,3.8,9.4,11.7,14.5,17.6,18,18.6,22.1,25.7,29.2
3.2,0,0.6,1.3,2.1,5.5,8.5,11.4,15.3,17,18.9,22.3,25.9,29.4
